Symbol,Security ID,Error
011NSETEST,14747,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
021NSETEST,14751,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
031NSETEST,14753,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
041NSETEST,14755,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
051NSETEST,14758,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
061NSETEST,14762,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
071NSETEST,14764,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
081NSETEST,14767,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
091NSETEST,14769,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
101NSETEST,14772,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
111NSETEST,14774,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
121NSETEST,14777,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
131NSETEST,14778,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
141NSETEST,14781,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
151NSETEST,14782,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
